Date : 2024-01-22 20:23:27
Directory : c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Website\react\src
Total : 343 files,  23774 codes, 5183 comments, 2998 blanks, all 31955 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        319 |     23,505 |      5,183 |      2,996 |     31,684 |
| XML        |         21 |        260 |          0 |          0 |        260 |
| CSS        |          1 |          7 |          0 |          2 |          9 |
| JSON       |          2 |          2 |          0 |          0 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |        343 |     23,774 |      5,183 |      2,998 |     31,955 |
| . (Files)                                                                                                                               |          6 |        404 |         82 |         49 |        535 |
| assets                                                                                                                                  |        158 |      4,815 |      2,217 |      1,186 |      8,218 |
| assets\images                                                                                                                           |         21 |        260 |          0 |          0 |        260 |
| assets\images (Files)                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| assets\images\illustrations                                                                                                             |          1 |         20 |          0 |          0 |         20 |
| assets\images\logos                                                                                                                     |          6 |         61 |          0 |          0 |         61 |
| assets\images\logos\gray-logos                                                                                                          |          6 |         61 |          0 |          0 |         61 |
| assets\images\small-logos                                                                                                               |         13 |        178 |          0 |          0 |        178 |
| assets\theme                                                                                                                            |         69 |      2,283 |      1,116 |        596 |      3,995 |
| assets\theme (Files)                                                                                                                    |          2 |        267 |         37 |         14 |        318 |
| assets\theme-dark                                                                                                                       |         68 |      2,272 |      1,101 |        590 |      3,963 |
| assets\theme-dark (Files)                                                                                                               |          2 |        267 |         38 |         14 |        319 |
| assets\theme-dark\base                                                                                                                  |          6 |        495 |        116 |        105 |        716 |
| assets\theme-dark\components                                                                                                            |         54 |      1,470 |        839 |        440 |      2,749 |
| assets\theme-dark\components (Files)                                                                                                    |         15 |        350 |        230 |        103 |        683 |
| assets\theme-dark\components\button                                                                                                     |          5 |        234 |         79 |         68 |        381 |
| assets\theme-dark\components\card                                                                                                       |          3 |         52 |         47 |         17 |        116 |
| assets\theme-dark\components\dialog                                                                                                     |          5 |         73 |         78 |         29 |        180 |
| assets\theme-dark\components\form                                                                                                       |         11 |        434 |        174 |        127 |        735 |
| assets\theme-dark\components\list                                                                                                       |          3 |         30 |         42 |         10 |         82 |
| assets\theme-dark\components\menu                                                                                                       |          2 |         53 |         32 |         14 |         99 |
| assets\theme-dark\components\stepper                                                                                                    |          5 |        120 |         78 |         36 |        234 |
| assets\theme-dark\components\table                                                                                                      |          3 |         43 |         47 |         17 |        107 |
| assets\theme-dark\components\tabs                                                                                                       |          2 |         81 |         32 |         19 |        132 |
| assets\theme-dark\functions                                                                                                             |          6 |         40 |        108 |         31 |        179 |
| assets\theme\base                                                                                                                       |          6 |        492 |        116 |        105 |        713 |
| assets\theme\components                                                                                                                 |         55 |      1,484 |        855 |        446 |      2,785 |
| assets\theme\components (Files)                                                                                                         |         16 |        386 |        246 |        115 |        747 |
| assets\theme\components\button                                                                                                          |          5 |        234 |         79 |         68 |        381 |
| assets\theme\components\card                                                                                                            |          3 |         51 |         47 |         17 |        115 |
| assets\theme\components\dialog                                                                                                          |          5 |         71 |         79 |         29 |        179 |
| assets\theme\components\form                                                                                                            |         11 |        416 |        173 |        121 |        710 |
| assets\theme\components\list                                                                                                            |          3 |         30 |         42 |         10 |         82 |
| assets\theme\components\menu                                                                                                            |          2 |         52 |         32 |         14 |         98 |
| assets\theme\components\stepper                                                                                                         |          5 |        120 |         78 |         36 |        234 |
| assets\theme\components\table                                                                                                           |          3 |         43 |         47 |         17 |        107 |
| assets\theme\components\tabs                                                                                                            |          2 |         81 |         32 |         19 |        132 |
| assets\theme\functions                                                                                                                  |          6 |         40 |        108 |         31 |        179 |
| components                                                                                                                              |         23 |      1,291 |        412 |        261 |      1,964 |
| components\MDAlert                                                                                                                      |          3 |         95 |         52 |         25 |        172 |
| components\MDAvatar                                                                                                                     |          3 |        120 |         39 |         22 |        181 |
| components\MDBadge                                                                                                                      |          2 |        138 |         42 |         26 |        206 |
| components\MDBox                                                                                                                        |          2 |        128 |         37 |         25 |        190 |
| components\MDButton                                                                                                                     |          2 |        236 |         59 |         59 |        354 |
| components\MDInput                                                                                                                      |          2 |         61 |         35 |         19 |        115 |
| components\MDPagination                                                                                                                 |          2 |        100 |         37 |         22 |        159 |
| components\MDProgress                                                                                                                   |          2 |         65 |         35 |         16 |        116 |
| components\MDSelect                                                                                                                     |          1 |         74 |          2 |          6 |         82 |
| components\MDSnackbar                                                                                                                   |          2 |        164 |         37 |         22 |        223 |
| components\MDTypography                                                                                                                 |          2 |        110 |         37 |         19 |        166 |
| context                                                                                                                                 |          2 |        127 |         26 |         20 |        173 |
| examples                                                                                                                                |         62 |      4,889 |      1,101 |        685 |      6,675 |
| examples\Breadcrumbs                                                                                                                    |          1 |         70 |         20 |         11 |        101 |
| examples\Cards                                                                                                                          |          7 |        593 |        124 |         64 |        781 |
| examples\Cards\BlogCards                                                                                                                |          1 |         82 |         19 |          8 |        109 |
| examples\Cards\BlogCards\SimpleBlogCard                                                                                                 |          1 |         82 |         19 |          8 |        109 |
| examples\Cards\InfoCards                                                                                                                |          3 |        192 |         46 |         25 |        263 |
| examples\Cards\InfoCards\DefaultInfoCard                                                                                                |          1 |         57 |         19 |          8 |         84 |
| examples\Cards\InfoCards\ProfileInfoCard                                                                                                |          2 |        135 |         27 |         17 |        179 |
| examples\Cards\MasterCard                                                                                                               |          1 |         89 |         20 |         12 |        121 |
| examples\Cards\ProjectCards                                                                                                             |          1 |        141 |         20 |         11 |        172 |
| examples\Cards\ProjectCards\DefaultProjectCard                                                                                          |          1 |        141 |         20 |         11 |        172 |
| examples\Cards\StatisticsCards                                                                                                          |          1 |         89 |         19 |          8 |        116 |
| examples\Cards\StatisticsCards\ComplexStatisticsCard                                                                                    |          1 |         89 |         19 |          8 |        116 |
| examples\Charts                                                                                                                         |         26 |      2,147 |        449 |        266 |      2,862 |
| examples\Charts\BarCharts                                                                                                               |          6 |        494 |         95 |         54 |        643 |
| examples\Charts\BarCharts\HorizontalBarChart                                                                                            |          2 |        167 |         37 |         19 |        223 |
| examples\Charts\BarCharts\HorizontalBarChart (Files)                                                                                    |          1 |        104 |         22 |         16 |        142 |
| examples\Charts\BarCharts\HorizontalBarChart\configs                                                                                    |          1 |         63 |         15 |          3 |         81 |
| examples\Charts\BarCharts\ReportsBarChart                                                                                               |          2 |        155 |         35 |         16 |        206 |
| examples\Charts\BarCharts\ReportsBarChart (Files)                                                                                       |          1 |         74 |         21 |         13 |        108 |
