"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\config.dart", "Dart", 32, 0, 11, 43
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\firebase_options.dart", "Dart", 48, 12, 3, 63
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\localizations\app_localization_delegate.dart", "Dart", 20, 0, 7, 27
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\localizations\language.dart", "Dart", 71, 0, 16, 87
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\localizations\translator.dart", "Dart", 39, 2, 8, 49
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\theme\app_notifier.dart", "Dart", 44, 8, 14, 66
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\theme\app_theme.dart", "Dart", 483, 36, 69, 588
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\theme\constant.dart", "Dart", 55, 0, 12, 67
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\theme\custom_chat_theme.dart", "Dart", 55, 4, 7, 66
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\theme\custom_theme.dart", "Dart", 157, 12, 28, 197
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\theme\material_theme.dart", "Dart", 365, 0, 35, 400
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\theme\navigation_theme.dart", "Dart", 29, 0, 3, 32
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\theme\theme_type.dart", "Dart", 1, 0, 1, 2
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\utils\constant_data.dart", "Dart", 14, 0, 6, 20
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\utils\generator.dart", "Dart", 161, 0, 20, 181
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\utils\info_controller.dart", "Dart", 49, 0, 7, 56
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\utils\my_color_utils.dart", "Dart", 24, 0, 5, 29
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\utils\my_shadow.dart", "Dart", 122, 5, 11, 138
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\utils\my_string_utils.dart", "Dart", 183, 0, 32, 215
"c:\Users\abese\Desktop\PROJECTS\FINANCE\frontend\Moblie\budgetmanager\lib\helpers\utils\my_utils.dart", "Dart", 336, 0, 21, 357
